¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
(film) Score,"El componente musical de la banda sonora de una película, generalmente compuesto específicamente para la película por un compositor de cine, la música de fondo en una película, generalmente compuesta especialmente para la película, puede ser orquestal, sintetizada o interpretada por un pequeño grupo de músicos, también se refiere al acto de escribir música para una película."
(the) Coast,"Argot que significa tanto hollywood como los ángeles, ambos centros de entretenimiento."
180 Degree Rule (or Line),"Una regla de dirección de pantalla que los operadores de cámara deben seguir: se crea una línea imaginaria en un lado del eje de la acción (por ejemplo, entre dos actores principales en una escena), y la cámara no debe cruzar esa línea, de lo contrario, hay una discontinuidad visual y desorientación molesta, similar al eje de acción (una línea imaginaria que separa la cámara de la acción ante ella) que no debe cruzarse."
180° Rule,"Una regla que establece que si dos personas están siendo filmadas en una secuencia, hay una línea invisible entre ellas y la cámara solo debe posicionarse en cualquier lugar dentro de los 180 grados a un lado de la línea. Cruzar la línea resulta en un salto particular, donde parece que las dos personas cambiaron de lugar. Una forma simple de evitar cruzar la línea es que una persona siempre esté mirando hacia la izquierda y la otra hacia la derecha."
24 Frames Per Second,"Se refiere a la velocidad de fotogramas estándar o velocidad de película: el número de fotogramas o imágenes que se proyectan o muestran por segundo, en la era del cine mudo antes de que se estableciera un estándar, muchas películas se proyectaban a 16 o 18 fotogramas por segundo, pero esa velocidad resultó ser demasiado lenta al intentar grabar pistas ópticas de sonido en películas, también conocido como 24fps o 24p."
3-d,"Una película que tiene una forma o apariencia tridimensional y estereoscópica, dando la ilusión de profundidad como la vida real, a menudo logrado con espectadores que usan lentes de gafas especiales rojas/azules (o rojas/verdes), cuando las imágenes 3-d se hacen interactivas para que los usuarios se sientan involucrados con la escena, la experiencia se llama realidad virtual, 3-d experimentó su apogeo a principios de la década de 1950, también conocido como 3d, tridimensional, estereoscópico 3d, visión natural 3d o tridimensional."
"3,200k",La temperatura de color de la luz de tungsteno.
"5,400k",La temperatura de color de la luz del día.
A Mano,"Grabación sin trípode, pero con la cámara sostenida por el camarógrafo."
A-level (or A-list),"Generalmente se refiere a actores/actrices de primer nivel que reciben más de $20 millones por largometraje, también puede referirse a productores, directores y escritores que pueden garantizar que se haga y se estrene una película."
Abby Singer (shot),"Un apodo para la segunda toma de producción de la jornada, el nombre se atribuyó al famoso gerente de producción y asistente de director de cine estadounidense abby singer entre las décadas de 1950 y 1980, la última toma del día se conoce como la toma de martini."
Above The Line,"Generalmente se refiere a esa parte del presupuesto de una película que cubre los costos asociados con el talento creativo principal: las estrellas, el director, el/los productor(es) y el/los escritor(es), aunque las películas con efectos especiales costosos (y pocas estrellas) tienen más costos presupuestarios 'por encima de la línea' para aspectos técnicos, el opuesto del término es 'debajo de la línea'."
Abstract (form),"Un tipo de película que rechaza la narrativa tradicional a favor del uso de la forma poética (color, movimiento, sonido, imágenes irracionales, etc.) Para transmitir su significado o sentimiento, también conocido como no lineal, ver también vanguardia."
absurd (absurdism),"Un término teatral, filosófico y literario originalmente, adoptado por cineastas, en el que los escenarios ordinarios se vuelven extraños, ilógicos, irracionales, irreales, sin sentido e incoherentes."
Academy Awards,"El nombre dado a los prestigiosos premios cinematográficos que se presentan cada año por ampas (la academia de artes y ciencias cinematográficas, o simplemente 'la academia'), una organización honoraria profesional dentro de la industria, desde 1927. El espectáculo anual de premios, en argot, a veces se refiere como una transmisión de elogios, ver también los oscar."
Act,"Una división principal dentro de la trama de una película, una película a menudo se divide por 'puntos de la trama' (lugares de cambio dramático) en lugar de por actos, las películas largas se dividen a mitad de camino con un intermedio."
